,predicted_rating
0,7.4190493
1,5.117787
2,6.6602917
3,4.6846004
4,6.333872
5,6.2255344
6,5.508083
7,6.14872
8,5.5138683
9,6.3861756
10,6.0650454
11,5.971364
12,4.914641
13,5.0469217
14,6.6473327
15,6.179455
16,5.2018304
17,6.664009
18,6.363737
19,3.8722026
20,6.4838104
21,5.116332
22,5.779001
23,5.7362165
24,5.585863
25,6.514268
26,4.607643
27,5.7710733
28,7.030038
29,6.568676
30,5.744318
31,5.0560346
32,6.461441
33,5.005143
34,5.9678717
35,5.79072
36,7.870876
37,6.199258
38,5.740479
39,6.4305
40,6.4409866
41,4.145689
42,6.0661073
43,5.5456696
44,6.565096
45,6.3503647
46,5.949182
47,5.787569
48,5.8218412
49,7.784168
50,4.8774195
51,5.5278172
52,6.6416163
53,6.2072577
54,6.2683744
55,5.0963297
56,5.406715
57,6.6048045
58,6.541472
59,5.889964
60,6.0899205
61,7.0974765
62,6.0178905
63,6.148622
64,6.7782254
65,4.6735587
66,5.885606
67,5.290968
68,6.448736
69,6.0740633
70,6.017705
71,6.482689
72,5.4678903
73,6.636695
74,6.4286656
75,5.783537
76,6.489676
77,6.738526
78,7.1519556
79,6.410364
80,6.8141336
81,6.867583
82,6.1998553
83,6.225271
84,6.444407
85,5.5150175
86,5.3916636
87,6.0736017
88,5.629682
89,5.26663
90,4.9410753
91,5.310962
92,5.8889804
93,6.290089
94,6.3040533
95,5.6254015
96,5.845615
97,6.002826
98,6.070812
99,6.2230916
100,5.6647944
101,6.2775064
102,6.043471
103,5.160488
104,6.191433
105,8.100378
106,6.3456845
107,6.2484145
108,6.6396246
109,6.8435383
110,4.912824
111,6.469845
112,6.8293614
113,6.609642
114,6.1327972
115,6.205232
116,6.415664
117,5.7166896
118,5.8514733
119,4.6545076
120,6.5267015
121,7.1212144
122,5.8767858
123,6.289145
124,6.4166975
125,6.714189
126,4.9742804
127,6.340834
128,6.3805423
129,5.947323
130,6.045204
131,6.099644
132,4.6024714
133,5.8481803
134,5.7616014
135,6.989081
136,5.841716
137,7.612465
138,6.2488613
139,5.5932255
140,5.4496236
141,4.9357705
142,5.9625325
143,6.0552073
144,6.817402
145,5.5567913
146,6.4297805
147,5.382635
148,5.740716
149,6.000857
150,6.5715814
151,5.56824
152,6.659888
153,5.3954897
154,6.465827
155,5.3009887
156,6.626261
157,5.7077837
158,4.014894
159,6.238469
160,6.352008
161,6.0295086
162,5.273049
163,5.943108
164,6.164395
165,6.7843485
166,6.104293
167,3.5592053
168,4.8984537
169,5.4623075
170,7.285728
171,5.355457
172,4.7922206
173,6.252315
174,4.932147
175,6.71735
176,5.434838
177,6.4802732
178,6.575986
179,4.630317
180,4.69
181,3.3281167
182,5.5272036
183,5.935725
184,5.821954
185,5.382498
186,6.9918237
187,5.973103
188,7.014738
189,6.9136767
190,5.967218
191,6.0652666
192,5.1028323
193,6.1287384
194,5.609514
195,6.675242
196,6.114936
197,5.880626
198,6.559456
199,4.6467266
200,4.8612733
201,5.078202
202,6.3021555
203,6.41244
204,5.048772
205,4.7314863
206,6.9821362
207,6.0754027
208,5.587712
209,5.9481864
210,3.695553
211,6.461282
212,5.9358964
213,6.3741336
214,6.199512
215,6.0568485
216,6.231396
217,4.8082
218,5.9431753
219,5.2179236
220,6.2296658
221,6.0735397
222,6.120606
223,6.454844
224,5.0815935
225,5.1854563
226,6.1491466
227,6.233912
228,6.304832
229,3.3369892
230,6.5946937
231,5.8051424
232,6.1205378
233,6.616357
234,6.482603
235,5.051899
236,6.9252024
237,5.2621555
238,6.609385
239,7.2081323
240,5.7598653
241,6.675719
242,5.267946
243,5.7106485
244,5.758777
245,3.6425054
246,6.153914
247,7.2241063
248,6.050491
249,5.9747167
250,6.896208
251,6.0692787
252,6.081312
253,6.0241227
254,5.276532
255,5.4162164
256,5.9008164
257,6.5123954
258,6.270024
259,5.004917
260,5.772473
261,5.913728
262,6.4526668
263,5.7691603
264,5.519982
265,8.206819
266,4.4752045
267,6.5044827
268,4.66023
269,5.6040335
270,6.2235675
271,6.2345304
272,5.8695297
273,6.3660607
274,5.481971
275,5.04521
276,4.1251144
277,6.4712954
278,6.1514287
279,6.0577564
280,8.182522
281,6.46923
282,6.1989627
283,5.5218163
284,3.8723586
285,6.6468153
286,4.58546
287,6.3773594
288,4.9159074
289,6.021814
290,5.334445
291,6.1404896
292,6.2625237
293,6.4699
294,5.932951
295,5.4280424
296,6.1507154
297,6.278161
298,6.358122
299,3.6429832
300,5.910141
301,5.0507307
302,5.785242
303,4.647869
304,6.8522825
305,4.6646924
306,6.552328
307,6.064629
308,7.2192216
309,6.626309
310,5.263506
311,5.309927
312,6.0241776
313,5.8095994
314,6.7125015
315,4.759879
316,5.3389735
317,5.793487
318,5.6962442
319,6.1316805
320,5.5871587
321,6.08077
322,5.829715
323,6.571522
324,6.3199377
325,6.2652874
326,6.7853312
327,8.06891
328,6.0217357
329,5.7161236
330,7.0659328
331,6.0334516
332,5.080964
333,6.7891455
334,5.5418296
335,5.363689
336,5.190466
337,6.3408217
338,6.327041
339,6.1986527
340,6.8524303
341,5.132001
342,5.958752
343,5.868448
344,4.551337
345,5.8428345
346,6.2971563
347,7.5244446
348,5.0296865
349,6.122748
350,6.096628
351,5.9962583
352,5.0582705
353,5.27448
354,6.3919535
355,6.3523483
356,6.3118596
357,6.23494
358,6.28275
359,7.6845155
360,6.0183167
361,6.7353635
362,6.856498
363,5.9212494
364,7.9846244
365,6.5446544
366,4.193987
367,5.8966284
368,6.270104
369,5.9316545
370,5.761429
371,6.7780666
372,6.4119554
373,6.50653
374,5.7374926
375,6.6345625
376,6.4865828
377,6.61615
378,5.351797
379,5.725084
380,4.1763525
381,5.5614862
382,6.5278616
383,6.479917
384,4.644002
385,6.0954742
386,5.3198075
387,5.6788397
388,6.1489625
389,5.7981257
390,4.5904365
391,7.20353
392,6.336039
393,5.394525
394,6.655608
395,6.455293
396,5.7957945
397,6.265349
398,6.270295
399,6.026456
400,5.1785464
401,6.789712
402,6.625173
403,5.5720477
404,6.185801
405,6.1495314
406,4.503656
407,6.35676
408,6.2885976
409,6.95381
410,6.7919073
411,6.3290854
412,6.27803
413,6.383906
414,6.540893
415,5.82628
416,6.780939
417,6.103615
418,6.3040667
419,4.9739084
420,6.014258
421,6.4728274
422,5.7377644
423,6.3420825
424,5.999737
425,5.7294154
426,6.497148
427,5.9456434
428,6.0208206
429,5.152144
430,6.633063
431,6.4287267
432,7.462759
433,7.2131095
434,5.9208584
435,6.4048433
436,5.9153867
437,6.3469157
438,5.930619
439,5.745727
440,6.075732
441,7.6436725
442,6.5531507
443,5.5463123
444,6.013832
445,6.9155517
446,5.985418
447,6.79539
448,6.3185353
449,5.8433895
450,5.7995105
451,6.0784874
452,3.5854728
453,6.5961633
454,5.6258135
455,4.777367
456,6.996808
457,5.871775
458,6.393178
459,5.4420733
460,6.667277
461,6.577991
462,6.7285533
463,4.861358
464,7.048189
465,4.607911
466,5.6202426
467,7.4555154
468,4.3214817
469,6.5195136
470,6.574933
471,6.276253
472,6.943064
473,4.8224335
474,6.5672646
475,4.4835854
476,6.0960884
477,6.5031457
478,6.432381
479,6.6386695
480,6.023184
481,3.3557875
482,6.344896
483,6.4148474
484,7.1997995
485,6.531072
486,6.898513
487,4.295641
488,4.952071
489,5.734763
490,6.4349766
491,6.631097
492,7.1117353
493,6.0898285
494,7.123595
495,6.292727
496,6.246943
497,5.214602
498,6.3255634
499,5.558021
500,4.4281693
501,5.532138
502,6.854589
503,5.817895
504,5.8862143
505,5.4993925
506,6.0974436
507,6.4298964
508,4.978731
509,3.7899983
510,7.1824408
511,6.391352
512,3.8862858
513,4.881937
514,5.7718997
515,6.513043
516,5.3382907
517,5.518538
518,6.564878
519,5.906367
520,6.4204955
521,6.8495607
522,4.1715918
523,6.1039853
524,4.354286
525,6.47091
526,6.645384
527,5.691889
528,6.494633
529,6.7278433
530,4.499666
531,6.3117037
532,5.015275
533,5.2586985
534,5.2231216
535,6.596096
536,6.3181276
537,4.9780364
538,3.714078
539,6.128475
540,4.982314
541,5.849923
542,5.0480204
543,5.0786
544,6.750224
545,4.714512
546,4.0443525
547,7.0089374
548,5.7422514
549,4.885428
550,6.052823
551,6.7176085
552,5.4909225
553,5.3989983
554,5.9255395
555,6.0013876
556,5.576224
557,5.5585794
558,4.842018
559,5.986482
560,6.829493
561,5.755525
562,6.9909716
563,5.806074
564,5.3627577
565,6.174632
566,7.1161175
567,4.866628
568,5.388046
569,5.710176
570,5.181556
571,6.92294
572,6.132973
573,6.576148
574,5.917935
575,6.013155
576,6.468684
577,4.829172
578,5.700973
579,6.226135
580,5.569536
581,4.041626
582,5.6783667
583,6.6227803
584,6.236128
585,6.66169
586,6.4600587
587,6.6772084
588,6.8375654
589,5.073055
590,4.770513
591,4.882184
592,5.1544843
593,7.382529
594,5.76689
595,6.975946
596,5.8535247
597,5.695444
598,6.682663
599,6.4641976
600,5.9001145
601,6.63388
602,5.4056644
603,5.3974857
604,5.7437496
605,5.077721
606,6.5638924
607,5.8307714
608,6.759738
609,5.5939503
610,5.2668824
611,5.379252
612,5.9110813
613,4.692467
614,6.380591
615,5.9299674
616,6.2636814
617,6.361497
618,7.126184
619,6.0649004
620,6.413871
621,5.7164392
622,5.064778
623,5.671275
624,5.1875124
625,4.9182324
626,5.5886664
627,5.4683194
628,6.72804
629,6.387917
630,6.7007427
631,6.708777
632,5.869073
633,5.745243
